,,Race,Gender,,,,,,,,,,,,,,,,,,,,
all4one,1994,nw,m,,,,,,,,,,,,,,,,,,,,
all4one,1995,nw,m,,,,,,,,,,,,,,,,,,,,
allen kriskris allen,2010,w,m,,,,,,,,,,,,,,,,,,,,
allure featuring 112,1997,nw,,,,,,,,,,,,,,,,,,,,,
allure featuring 112,1998,,,,,,,,,,,,,,,,,,,,,,
aloe blacc,2014,nw,m,,,,,,,,,,,,,,,,,,,,
amanda perez,2003,nw,f,,,,,,,,,,,,,,,,,,,,
amazing rhythm aces,1975,,,,,,,,,,,,,,,,,,,,,,
amber,1996,,,,,,,,,,,,,,,,,,,,,,
ambrosia,1979,,,,,,,,,,,,,,,,,,,,,,
ambrosia,1980,,,,,,,,,,,,,,,,,,,,,,
ame lorain,1990,,,,,,,,,,,,,,,,,,,,,,
america,1972,,,,,,,,,,,,,,,,,,,,,,
america,1975,w,m,,,,,,,,,,,,,,,,,,,,
america,1975,,,,,,,,,,,,,,,,,,,,,,
america,1982,,,,,,,,,,,,,,,,,,,,,,
american authors,2014,w,m,,,,,,,,,,,,,,,,,,,,
amerie,2005,nw,f,,,,,,,,,,,,,,,,,,,,
amii stewart,1979,,,,,,,,,,,,,,,,,,,,,,
amy grant,1991,,,,,,,,,,,,,,,,,,,,,,
amy grant,1991,,,,,,,,,,,,,,,,,,,,,,
amy grant,1992,,,,,,,,,,,,,,,,,,,,,,
amy grant,1992,,,,,,,,,,,,,,,,,,,,,,
amy grant,1992,,,,,,,,,,,,,,,,,,,,,,
amy winehouse,2007,w,f,,,,,,,,,,,,,,,,,,,,
andrea true connection,1976,,,,,,,,,,,,,,,,,,,,,,
andrew gold,1977,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1977,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1978,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1978,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1978,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1979,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1980,,,,,,,,,,,,,,,,,,,,,,
andy gibb,1981,,,,,,,,,,,,,,,,,,,,,,
andy grammer,2015,w,m,,,,,,,,,,,,,,,,,,,,
andy kim,1969,,,,,,,,,,,,,,,,,,,,,,
andy kim,1974,,,,,,,,,,,,,,,,,,,,,,
andy williams,1971,,,,,,,,,,,,,,,,,,,,,,
angie martinez featuring lil mo and sacario,2002,nw,f,,,,,,,,,,,,,,,,,,,,
animotion,1985,,,,,,,,,,,,,,,,,,,,,,
anita baker,1986,,,,,,,,,,,,,,,,,,,,,,
anita baker,1989,,,,,,,,,,,,,,,,,,,,,,
anita ward,1979,,,,,,,,,,,,,,,,,,,,,,
ann wilson and robin zander,1989,,,,,,,,,,,,,,,,,,,,,,
anna kendrick,2013,w,f,,,,,,,,,,,,,,,,,,,,
anne murray,1970,,,,,,,,,,,,,,,,,,,,,,
anne murray,1973,,,,,,,,,,,,,,,,,,,,,,
anne murray,1974,,,,,,,,,,,,,,,,,,,,,,
anne murray,1974,,,,,,,,,,,,,,,,,,,,,,
anne murray,1978,,,,,,,,,,,,,,,,,,,,,,
anne murray,1979,,,,,,,,,,,,,,,,,,,,,,
anne murray,1980,,,,,,,,,,,,,,,,,,,,,,
anne murray,1980,,,,,,,,,,,,,,,,,,,,,,
annie lennox,1995,,,,,,,,,,,,,,,,,,,,,,
another bad creation,1991,,,,,,,,,,,,,,,,,,,,,,
apollo 100,1972,,,,,,,,,,,,,,,,,,,,,,
aqua,1997,w,f,,,,,,,,,,,,,,,,,,,,
arcadia,1986,,,,,,,,,,,,,,,,,,,,,,
archie bell the drells,1968,,,,,,,,,,,,,,,,,,,,,,
Archie Shepp,0,nw,m,,,,,,,,,,,,,,,,,,,,
aretha franklin,1967,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1967,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1967,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1968,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1968,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1968,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1970,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1971,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1971,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1972,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1974,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin,1985,,,,,,,,,,,,,,,,,,,,,,
aretha franklin,1985,,,,,,,,,,,,,,,,,,,,,,
aretha franklin,1998,nw,f,,,,,,,,,,,,,,,,,,,,
aretha franklin and george michael,1987,,,,,,,,,,,,,,,,,,,,,,
argent,1972,,,,,,,,,,,,,,,,,,,,,,
ariana grande,2015,nw,f,,,,,,,,,,,,,,,,,,,,
ariana grande and the weeknd,2015,nw,f,,,,,,,,,,,,,,,,,,,,
ariana grande featuring iggy azalea,2014,nw,f,,,,,,,,,,,,,,,,,,,,
ariana grande featuring mac miller,2013,nw,f,,,,,,,,,,,,,,,,,,,,
ariana grande featuring zedd,2014,nw,f,,,,,,,,,,,,,,,,,,,,
arlo guthrie,1972,,,,,,,,,,,,,,,,,,,,,,
arrested development,1992,,,,,,,,,,,,,,,,,,,,,,
arrested development,1992,,,,,,,,,,,,,,,,,,,,,,
arrested development,1993,,,,,,,,,,,,,,,,,,,,,,
arthur conley,1967,,,,,,,,,,,,,,,,,,,,,,
asap rocky featuring drake 2 chainz and kendrick lamar,2013,nw,m,,,,,,,,,,,,,,,,,,,,
ashanti,2002,nw,,,,,,,,,,,,,,,,,,,,,
ashanti,2002,nw,f,,,,,,,,,,,,,,,,,,,,
ashanti,2002,nw,f,,,,,,,,,,,,,,,,,,,,
ashanti,2003,nw,f,,,,,,,,,,,,,,,,,,,,
ashanti,2003,nw,f,,,,,,,,,,,,,,,,,,,,
asher roth,2009,w,m,,,,,,,,,,,,,,,,,,,,
ashford simpson,1985,,,,,,,,,,,,,,,,,,,,,,
ashlee simpson,2004,w,f,,,,,,,,,,,,,,,,,,,,
asia,1982,,,,,,,,,,,,,,,,,,,,,,
asia,1983,,,,,,,,,,,,,,,,,,,,,,
